service_id,date,exception_type
044-2-0610072024-OL#B,20240702,2
044-2-0610072024-OL#B,20240703,2
044-2-0610082024-OL#B,20240813,2
044-2-0610082024-OL#B,20240814,2
044-2-0610082024-OL#B,20240820,2
044-2-0610082024-OL#B,20240821,2
044-2-0610082024-OL#B,20240827,2
044-2-0610082024-OL#B,20240828,2
049-1-0740102024-B#HLHT,20241008,2
049-1-0740102024-B#HLHT,20241009,2
049-1-0740102024-B#HLHT,20241015,2
049-1-0740102024-B#HLHT,20241016,2
049-32-1400102024-HLHT#B,20241008,2
049-32-1400102024-HLHT#B,20241009,2
049-32-1400102024-HLHT#B,20241015,2
049-32-1400102024-HLHT#B,20241016,2
050-1-0715102024-B#HH,20241003,2
050-1-0715102024-B#HH,20241009,2
050-1-0715102024-B#HH,20241016,2
050-1-0715102024-B#HH,20241023,2
050-12-1300102024-HH#B,20241009,2
050-12-1300102024-HH#B,20241016,2
050-12-1300102024-HH#B,20241023,2
050-18-1800102024-HH#B,20241010,2
050-18-1800102024-HH#B,20241017,2
050-3-0915102024-B#HH,20241009,2
050-3-0915102024-B#HH,20241010,2
050-3-0915102024-B#HH,20241016,2
050-3-0915102024-B#HH,20241017,2
050-33-1200092024-B#FL,20240909,2
050-33-1200092024-B#FL,20240916,2
050-33-1200092024-B#FL,20240923,2
050-33-1300102024-B#FL,20241009,2
050-33-1300102024-B#FL,20241010,2
050-33-1300102024-B#FL,20241013,2
050-33-1300102024-B#FL,20241016,2
050-33-1300102024-B#FL,20241017,2
050-33-1300102024-B#FL,20241020,2
050-33-1300102024-B#FL,20241023,2
050-33-1300102024-B#FL,20241024,2
050-33-1300102024-B#FL,20241028,2
050-4-0630092024-HH#B,20240902,2
050-5-0945102024-B#HH,20241002,2
050-6-0700092024-HH#B,20240909,2
050-6-0700092024-HH#B,20240916,2
050-6-0700092024-HH#B,20240923,2
050-8-1100102024-HH#B,20241012,2
050-8-1100102024-HH#B,20241019,2
052-52-0630062024-G#B,20240604,2
052-52-0630062024-G#B,20240605,2
052-53-1415062024-B#G,20240604,2
