route_id,trip_id,service_id,trip_short_name,trip_headsign,route_short_name,direction_id,block_id,shape_id,wheelchair_accessible,trip_bikes_allowed,bikes_allowed,ticketing_trip_id,ticketing_type
001,001-29-1200102024-FR#M-00,001-29-1200102024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,,,,,1
001,001-29-1300062024-FR#M-00,001-29-1300062024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,,,,,1
001,001-29-1300072024-FR#M-00,001-29-1300072024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,,,,,1
001,001-29-1300082024-FR#M-00,001-29-1300082024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,,,,,1
001,001-29-1300092024-FR#M-00,001-29-1300092024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,,,,,1
001,001-29-1300102024-FR#M-00,001-29-1300102024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,,,,,1
001,001-29-1300112024-FR#M-00,001-29-1300112024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,,,,,1
001,001-29-1325062024-FR#M-00,001-29-1325062024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,,,,,1
001,001-29-1325072024-FR#M-00,001-29-1325072024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,,,,,1
001,001-29-1325082024-FR#M-00,001-29-1325082024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,,,,,1
001,001-29-1325092024-FR#M-00,001-29-1325092024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,,,,,1
001,001-29-1325102024-FR#M-00,001-29-1325102024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,,,,,1
001,001-29-1400102024-FR#M-00,001-29-1400102024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,,,,,1
001,001-29-1400112024-FR#M-00,001-29-1400112024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,,,,,1
001,001-29-1400122024-FR#M-00,001-29-1400122024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,,,,,1
001,001-29-1425102024-FR#M-00,001-29-1425102024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,,,,,1
001,001-29-1425112024-FR#M-00,001-29-1425112024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,,,,,1
001,001-29-1425122024-FR#M-00,001-29-1425122024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,,,,,1
001,001-3-0555062024-FR#M-00,001-3-0555062024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,,,,,1
001,001-3-0555072024-FR#M-00,001-3-0555072024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,,,,,1
001,001-3-0555082024-FR#M-00,001-3-0555082024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,,,,,1
001,001-3-0555092024-FR#M-00,001-3-0555092024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,,,,,1
001,001-3-0555102024-FR#M-00,001-3-0555102024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,,,,,1
001,001-3-0655062024-FR#M-00,001-3-0655062024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,,,,,1
001,001-3-0655072024-FR#M-00,001-3-0655072024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,,,,,1
001,001-3-0655082024-FR#M-00,001-3-0655082024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,,,,,1
001,001-3-0655092024-FR#M-00,001-3-0655092024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,,,,,1
001,001-3-0655102024-FR#M-00,001-3-0655102024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,,,,,1
001,001-3-0655112024-FR#M-00,001-3-0655112024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,,,,,1
001,001-3-0655122024-FR#M-00,001-3-0655122024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,,,,,1
001,001-3-0755102024-FR#M-00,001-3-0755102024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,,,,,1
001,001-3-0755112024-FR#M-00,001-3-0755112024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,,,,,1
001,001-3-0755122024-FR#M-00,001-3-0755122024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,,,,,1
001,001-35-1430062024-FR#M-00,001-35-1430062024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,,,,,1
001,001-35-1430072024-FR#M-00,001-35-1430072024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,,,,,1
001,001-35-1430082024-FR#M-00,001-35-1430082024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,,,,,1
001,001-35-1430092024-FR#M-00,001-35-1430092024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,,,,,1
001,001-35-1430102024-FR#M-00,001-35-1430102024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,,,,,1
001,001-35-1530062024-FR#M-00,001-35-1530062024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,,,,,1
001,001-35-1530072024-FR#M-00,001-35-1530072024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,,,,,1
001,001-35-1530082024-FR#M-00,001-35-1530082024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,,,,,1
001,001-35-1530092024-FR#M-00,001-35-1530092024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,,,,,1
001,001-35-1530102024-FR#M-00,001-35-1530102024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,,,,,1
